P08908 5ht1a_human
K4K6X9 k4k6x9_utast
Q864I4 mshr_trafr
B3FFC3 b3ffc3_taxta
G3M7R3 g3m7r3_psecu
Q7ZSY9 q7zsy9_takru
H2QHW6 h2qhw6_pantr
W5NIG3 w5nig3_lepoc
I6Q0A3 i6q0a3_9saur
U3F451 u3f451_calja
E9KW52 e9kw52_9saur
A0A0D9SA88 a0a0d9sa88_chlsb
Q56H79 npsr1_macmu
G1SA73 g1sa73_nomle
K4HGG8 k4hgg8_9saur
Q6W9B9 q6w9b9_9rode
H0XNU6 h0xnu6_otoga
G5E6R4 g5e6r4_bovin
K4HGE7 k4hge7_boaco
F6QSW4 f6qsw4_horse
K7FFW2 k7ffw2_pelsi
H2Q2V4 h2q2v4_pantr
J7LMF3 j7lmf3_9saur
D3ZSW1 d3zsw1_rat
G9CHX0 g9chx0_9neob
E7BRL2 e7brl2_9tele
S5ZDF4 s5zdf4_miimi
D6N2M1 d6n2m1_micmu
F2Y5J5 f2y5j5_souch
H2Q7K1 h2q7k1_pantr
Q1AG26 q1ag26_rabit
K4GUX1 k4gux1_calri
G8JC82 g8jc82_9tele
M3YPH1 m3yph1_muspf
R4LDX5 r4ldx5_tassh
G8HV82 g8hv82_9neob
B3RFD4 b3rfd4_sorar
F7GR11 f7gr11_macmu
H5ZTX1 h5ztx1_corpu
J7ME51 j7me51_pantr
A0A0C5H566 a0a0c5h566_fulga
G3U4P2 g3u4p2_loxaf
O77715 ada2b_didvi
O70501 o70501_rat
Q58TC3 q58tc3_9gobi
F1MJF8 f1mjf8_bovin
F7AMI2 f7ami2_mondo
F7E5F8 f7e5f8_mondo
C6KFA3 gp126_danre
D2WK08 d2wk08_hetga
E9QFU3 e9qfu3_danre
Q14AC3 q14ac3_mouse
W5NWU2 w5nwu2_sheep
E7D7J6 e7d7j6_hapbu
F2VRC8 f2vrc8_manpe
D9YL62 d9yl62_9neob
Q6E125 q6e125_9pass
V8P4M3 v8p4m3_ophha
G1MZ61 g1mz61_melga
K9IVW0 k9ivw0_pig
F1P501 f1p501_chick
V5UXK8 v5uxk8_9saur
B4Z6L6 b4z6l6_9falc
H0V3E9 h0v3e9_cavpo
F7D5C8 f7d5c8_macmu
I3J3G3 i3j3g3_oreni
Q28309 aa3r_canfa
J7MG89 j7mg89_pantr
A8QXS5 a8qxs5_loxaf
U3CDR4 u3cdr4_calja
K4GQU4 k4gqu4_9saur
F7I257 f7i257_calja
Q2Q8I9 q2q8i9_phyco
H3AB81 h3ab81_latch
F1PZZ4 f1pzz4_canfa
F6M1L4 f6m1l4_9tele
U3ERT1 u3ert1_calja
K7G6M2 k7g6m2_pelsi
A2TAF7 a2taf7_9neob
Q06FD7 q06fd7_bovin
T1QU94 t1qu94_9tele
U3HYP1 u3hyp1_anapl
W5Q0R9 w5q0r9_sheep
K4GQM2 k4gqm2_9saur
F7HVM8 f7hvm8_calja
H5ZTY9 h5zty9_9gobi
I0CKD9 i0ckd9_trafr
Q6E132 q6e132_9pass
V9LTC1 v9ltc1_falch
A0A0A7H9D3 a0a0a7h9d3_blaci
A0A091JFS8 a0a091jfs8_9aves
P29754 agtra_mouse
I3N166 i3n166_icttr
W5NN59 w5nn59_lepoc
F1RWT6 f1rwt6_pig
U3DQ93 u3dq93_calja
A0A059UCP0 a0a059ucp0_9pass
H2PNR3 h2pnr3_ponab
F6SJH5 f6sjh5_horse
G1M2F1 g1m2f1_ailme
D9YL95 d9yl95_phytt
C5HEZ8 c5hez8_acoru
H7BS51 h7bs51_9tele
J9PAJ2 j9paj2_canfa
D7PQZ5 d7pqz5_zalca
C5HF10 c5hf10_desau
Q80UD4 gp150_mouse
F7CS19 f7cs19_ornan
A0A0D3L790 a0a0d3l790_caphi
F1RTG3 f1rtg3_pig
Q640X3 q640x3_xenla
I0CKE8 i0cke8_aotaz
K0IT23 k0it23_marme
D9MN77 d9mn77_nycce
G3T9V3 g3t9v3_loxaf
K4HGC0 k4hgc0_9saur
I3MB99 i3mb99_icttr
G5CVU4 g5cvu4_vomur
H0XSZ8 h0xsz8_otoga
G3WEU1 g3weu1_sarha
M3ZPM9 m3zpm9_xipma
A0A0B2V252 a0a0b2v252_toxca
A7Z0C1 a7z0c1_oryla
O88835 gp162_mouse
P46626 adrb3_bovin
G1TBU3 g1tbu3_rabit
F6KXD7 f6kxd7_sheep
T2MEQ1 t2meq1_hydvu
D2HSM2 d2hsm2_ailme
Q9TUW5 q9tuw5_pantr
G3RHM0 g3rhm0_gorgo
Q9MZN5 q9mzn5_hooho
R0L737 r0l737_anapl
F2X6U1 f2x6u1_9embe
Q7TN40 mrgre_rat
H9GFG4 h9gfg4_anoca
V9PWH0 v9pwh0_9neob
A9LS71 a9ls71_9lago
C7BBU3 c7bbu3_9neob
J7FII4 j7fii4_9pass
Q646B3 t2r16_pantr
B2M1S1 b2m1s1_scica
H2NSU4 h2nsu4_ponab
G1R0R4 g1r0r4_nomle
Q50DM7 gpr56_pantr
Q99MX9 gpr84_mouse
F2XH47 f2xh47_ptemo
A0A0D9RGY7 a0a0d9rgy7_chlsb
K7EXS8 k7exs8_pelsi
H5ZU20 h5zu20_9gobi
Q9MZN9 q9mzn9_macar
O18793 ccr2_macmu
F1QQG9 f1qqg9_danre
U3KIV3 u3kiv3_fical
H3AE32 h3ae32_latch
H5ZTW9 h5ztw9_corhy
Q2V2K5 gnrhr_octvu
Q5QD16 taar3_mouse
O62745 ccr5_cerat
D0V7B5 d0v7b5_bunmo
F2VRC2 f2vrc2_turtr
H0XJW3 h0xjw3_otoga
A6XJZ8 a6xjz8_9neob
O16017 opsd_camlu
F7B181 f7b181_calja
Q0EAB4 q0eab4_horse
H0V6Y5 h0v6y5_cavpo
H0WM99 h0wm99_otoga
F7HFU0 f7hfu0_macmu
U6CTF2 u6ctf2_neovi
F6WGB2 f6wgb2_mondo
Q3US12 q3us12_mouse
F6V7I9 f6v7i9_horse
A0A0D9S924 a0a0d9s924_chlsb
E5RVJ7 e5rvj7_chick
B4Z6K9 b4z6k9_lepdc
A7Z0B8 a7z0b8_takru
K4GR90 k4gr90_leibe
K7EZ99 k7ez99_pelsi
F7B1B1 f7b1b1_calja
F1SUF1 f1suf1_pig
W5Q6Y4 w5q6y4_sheep
G3TTN1 g3ttn1_loxaf
H3A3S1 h3a3s1_latch
G3SUW3 g3suw3_loxaf
T2EV76 t2ev76_9pass
F6WK57 f6wk57_macmu
I3L7F4 i3l7f4_pig
D8V2B7 d8v2b7_9neob
M3YZ66 m3yz66_muspf
A9UEA6 a9uea6_bovin
G1PPR8 g1ppr8_myolu
G3V8P3 g3v8p3_rat
A3KF39 a3kf39_maccy
M3W6R0 m3w6r0_felca
F1R2I5 f1r2i5_danre
F6QH01 f6qh01_xentr
F7F878 f7f878_mondo
J7FI59 j7fi59_9pass
F7HW37 f7hw37_calja
Q675B9 tr109_rat
Q059H6 prlhr_mouse
U3IZD9 u3izd9_anapl
X2CDN3 x2cdn3_macas
H2P8V6 h2p8v6_ponab
A8CUK0 a8cuk0_9neob
Q95N03 cltr2_pig
B9TRZ1 b9trz1_9tele
B4Z6E9 b4z6e9_araga
F6R6D5 f6r6d5_calja
G3TQ55 g3tq55_loxaf
Q1MNJ4 q1mnj4_macfa
G3M7Q5 g3m7q5_isoma
C5H7Y3 c5h7y3_rhife
C5I7V9 c5i7v9_lagal
F7B4V6 f7b4v6_horse
F7E3K6 f7e3k6_macmu
G1Q1K7 g1q1k7_myolu
K4EJE2 k4eje2_9rode
K7GFA5 k7gfa5_pelsi
G1R945 g1r945_nomle
A6XJY3 a6xjy3_9neob
Q0P5F8 q0p5f8_bovin
V8P2F1 v8p2f1_ophha
D6N0E0 d6n0e0_eumju
A0A0D9SB27 a0a0d9sb27_chlsb
M3W359 m3w359_felca
I3LK30 i3lk30_pig
E3V2E2 e3v2e2_pig
M3Z893 m3z893_muspf
L7TTL6 l7ttl6_9saur
Q5E9P3 s1pr1_bovin
G1PDW9 g1pdw9_myolu
Q9N2B1 hrh1_gorgo
K4K621 k4k621_utast
W5PMX5 w5pmx5_sheep
G3RVR8 g3rvr8_gorgo
V5UZQ8 v5uzq8_9saur
S4RNH6 s4rnh6_petma
F7H472 f7h472_macmu
H0W839 h0w839_cavpo
D4AC13 lgr5_rat
G3VWY1 g3vwy1_sarha
F2XHC9 f2xhc9_9gobi
H9GWA8 h9gwa8_canfa
F7FWX0 f7fwx0_mondo
F6XIJ3 f6xij3_mondo
K4KH23 k4kh23_utast
G1TBA2 g1tba2_rabit
G1PI72 g1pi72_myolu
A0A0D9RJ74 a0a0d9rj74_chlsb
G1SB83 g1sb83_nomle
A7J0I8 a7j0i8_bubbu
G1PUE0 g1pue0_myolu
F6YL32 f6yl32_horse
F6ZDD4 f6zdd4_xentr
H2RHW1 h2rhw1_pantr
F1SF06 f1sf06_pig
H0XGV0 h0xgv0_otoga
I3N2Z9 i3n2z9_icttr
U3IV59 u3iv59_anapl
K4K3M1 k4k3m1_utast
U3IS23 u3is23_anapl
H3AUB3 h3aub3_latch
K7F150 k7f150_pelsi
D8KZS3 d8kzs3_hylla
C8YY68 c8yy68_9saur
A0A0D9SBL5 a0a0d9sbl5_chlsb
Q91ZB8 mrgrd_mouse
G1PCT6 g1pct6_myolu
D6N0E2 d6n0e2_melme
Q2V6T2 q2v6t2_mouse
A0A076MFH7 a0a076mfh7_varlo
G1RT94 g1rt94_nomle
F6YNC6 f6ync6_calja
V5LVK9 v5lvk9_aptpa
Q864G1 mshr_alopi
F7D436 f7d436_calja
F7HQL1 f7hql1_macmu
K4HKI3 k4hki3_9saur
O18911 opsg_odovi
G1KVB4 g1kvb4_anoca
H0W447 h0w447_cavpo
H6A2N5 h6a2n5_9tele
A0A096ND52 a0a096nd52_papan
K4HHF6 k4hhf6_9saur
G1PKG6 g1pkg6_myolu
H7BRU1 h7bru1_9tele
H0YWN2 h0ywn2_taegu
H7BRX0 h7brx0_9tele
K4HGW9 k4hgw9_9saur
A0A0A0MVZ3 a0a0a0mvz3_papan
B7TVM0 b7tvm0_perpl
K4GRD1 k4grd1_varac
F6X8C7 f6x8c7_macmu
A8QXP8 a8qxp8_calja
T2B1K1 t2b1k1_aname
G3RWU7 g3rwu7_gorgo
G1SID0 g1sid0_rabit
Q3TPL0 q3tpl0_mouse
I3KRU0 i3kru0_oreni
H3B092 h3b092_latch
C0KV49 c0kv49_pantr
G1TKZ6 g1tkz6_rabit
R0K155 r0k155_anapl
Q3UUK3 q3uuk3_mouse
G1TKW6 g1tkw6_rabit
Q864I1 mshr_leocy
G3RFB9 g3rfb9_gorgo
J9NXE5 j9nxe5_canfa
U3K9C9 u3k9c9_fical
S4RXF1 s4rxf1_petma
A0A096N7L9 a0a096n7l9_papan
H6A2M5 h6a2m5_gymac
G1P4Y5 g1p4y5_myolu
H9GSG9 h9gsg9_anoca
D2YZB5 d2yzb5_fejmu
W5NPT8 w5npt8_sheep
W5NTE0 w5nte0_sheep
F7EI66 f7ei66_mondo
T1QUS3 t1qus3_9pleu
A0A0G2KM61 a0a0g2km61_danre
J9P3C3 j9p3c3_canfa
H2FF66 h2ff66_9saur
H2PZI1 h2pzi1_pantr
B4Z6Q6 b4z6q6_rolro
K4HKD8 k4hkd8_9saur
D2YWB4 d2ywb4_litct
F7G601 f7g601_calja
A0A091N1N0 a0a091n1n0_9pass
G1TVL2 g1tvl2_rabit
F7IH55 f7ih55_calja
Q9I9M5 fzd1_xenla
V5JDP1 v5jdp1_canfa
Q99NT8 q99nt8_diphe
V8PBA4 v8pba4_ophha
A2I5Z0 a2i5z0_timle
I3M3X5 i3m3x5_icttr
P51470 opsd_litct
I3N4K6 i3n4k6_icttr
G1KHV1 g1khv1_anoca
Q64055 acm3_mouse
A0A0G2JFF5 a0a0g2jff5_mouse
F7CUC2 f7cuc2_mondo
G3TNJ9 g3tnj9_loxaf
C0KV07 c0kv07_pantr
F1SX20 f1sx20_panpr
Q8BYR7 nk1r_mouse
K4GRN5 k4grn5_boafu
P35370 oprx_rat
G3M7R7 g3m7r7_myrfa
T1QV57 t1qv57_9pleu
P49652 p2ry1_melga
F1NPB9 f1npb9_chick
Q542U1 q542u1_mouse
A0A0B8RZM5 a0a0b8rzm5_pig
I3MWC1 i3mwc1_icttr
G3VJZ3 g3vjz3_sarha
W5NXQ6 w5nxq6_sheep
M3XJ31 m3xj31_latch
V8PBL3 v8pbl3_ophha
F6VIX5 f6vix5_ornan
B8QCP2 b8qcp2_lioal
Q9BG38 q9bg38_proca
K4GQX0 k4gqx0_9saur
G4WK84 g4wk84_tetad
K7GCB0 k7gcb0_pelsi
D5LGJ6 d5lgj6_9hyst
G1PBN2 g1pbn2_myolu
C0KUQ7 c0kuq7_pantr
Q09J07 q09j07_macmu
F6SHJ1 f6shj1_ornan
F6Z3V7 f6z3v7_macmu
G3NB20 g3nb20_gasac
Q8BZF9 q8bzf9_mouse
I0J167 i0j167_litct
C5I7W1 c5i7w1_neoph
A0A096MXB4 a0a096mxb4_papan
H0V1G0 h0v1g0_cavpo
C5HF21 c5hf21_hylla
T2B0C3 t2b0c3_9aves
Q646B2 t2r41_pantr
O16018 opsd_camsc
A3KF78 a3kf78_macng
G1LPM6 g1lpm6_ailme
M3VW79 m3vw79_felca
J9P4E2 j9p4e2_canfa
U3BQ57 u3bq57_calja
F7GVI5 f7gvi5_calja
F7J1X6 f7j1x6_litct
D9YL67 d9yl67_9neob
B5U477 b5u477_cerno
H0WND4 h0wnd4_otoga
B9TRY7 b9try7_danda
G3NI39 g3ni39_gasac
A0A087Y0S2 a0a087y0s2_poefo
W5K4J2 w5k4j2_astmx
H0YPZ4 h0ypz4_taegu
G5CVP1 g5cvp1_hypms
H0YXK7 h0yxk7_taegu
G3K506 g3k506_9ceta
H2QT82 h2qt82_pantr
Q8AV67 q8av67_danre
M3WF26 m3wf26_felca
F7I726 f7i726_calja
H9GL39 h9gl39_anoca
A0A091Q432 a0a091q432_lepdc
A0A0E3IRE8 a0a0e3ire8_sorex
A0A0B6VQV1 a0a0b6vqv1_mouse
A8CUH0 a8cuh0_9neob
M3WPU7 m3wpu7_felca
G3TAX1 g3tax1_loxaf
B9TS10 b9ts10_9tele
F7CUS7 f7cus7_horse
U5TYL5 u5tyl5_crofo
B1P8M3 b1p8m3_varvr
F1NAJ4 f1naj4_chick
H2NVS0 h2nvs0_ponab
H9G9J1 h9g9j1_anoca
F7HZX1 f7hzx1_calja
H0Y024 h0y024_otoga
F6VQJ8 f6vqj8_macmu
Q8UUY8 adrb2_oncmy
U6CRI2 u6cri2_neovi
X5KCF2 x5kcf2_9chon
A0A0B2UX71 a0a0b2ux71_toxca
H8ZJS8 h8zjs8_ransp
V8NKM5 v8nkm5_ophha
G1NHJ2 g1nhj2_melga
A8CU37 a8cu37_9neob
A0A0F8AHE7 a0a0f8ahe7_larcr
F1SD92 f1sd92_pig
E5G6B8 e5g6b8_9pass
C0M5L6 c0m5l6_octde
G1MHU5 g1mhu5_ailme
A4GSS2 a4gss2_makni
H2ZVR8 h2zvr8_latch
A5JTW6 a5jtw6_argar
G5CVU8 g5cvu8_mesbi
F6YAV5 f6yav5_ornan
G1RUA6 g1rua6_nomle
J7EPK8 j7epk8_bovin
Q58TA7 q58ta7_9gobi
D5LGJ4 d5lgj4_octde
G3TQH0 g3tqh0_loxaf
G3WUP3 g3wup3_sarha
Q95L01 bkrb1_chlae
D0VVT1 d0vvt1_cotco
Q9BG55 tshr_pig
H0YSG5 h0ysg5_taegu
I6PZN7 i6pzn7_9saur
A0A0C5DK90 a0a0c5dk90_bosin
P41590 opsd_astfa
G1PIH5 g1pih5_myolu
K4GUX9 k4gux9_9saur
E2RPZ0 e2rpz0_canfa
G3WNT2 g3wnt2_sarha
G1RYV7 g1ryv7_nomle
G1S1X6 g1s1x6_nomle
F8R8T7 f8r8t7_9neob
E9KW60 e9kw60_9saur
G3TQW3 g3tqw3_loxaf
I3M5S9 i3m5s9_icttr
I6UMI9 i6umi9_9saur
E1BVI5 e1bvi5_chick
Q66Y45 q66y45_holma
Q2ABB3 q2abb3_bovin
A8CUU1 a8cuu1_9neob
Q68ED2 grm7_mouse
G5CVR6 g5cvr6_9carn
G5E6R9 g5e6r9_bovin
H0XPS4 h0xps4_otoga
Q9DDD1 gp149_chick
Q0QFT9 q0qft9_9pass
V8N592 v8n592_ophha
A1KYP5 a1kyp5_petma
J7M7N9 j7m7n9_pantr
H2MFX9 h2mfx9_oryla
S5G4R1 s5g4r1_podmu
F7G2Q8 f7g2q8_calja
Q9TST7 opsr_felca
G3U315 g3u315_loxaf
M0RCK7 m0rck7_rat
H7BRX7 h7brx7_9tele
F7C3B1 f7c3b1_mondo
G5CVV3 g5cvv3_phycd
A2TAD7 a2tad7_9neob
K4HHH3 k4hhh3_pseuq
F6SCG3 f6scg3_horse
Q9N1D0 q9n1d0_bovin
B5X337 gp183_salsa
U3K6R1 u3k6r1_fical
H0VJP3 h0vjp3_cavpo
G9CHW7 g9chw7_9neob
H0W0E6 h0w0e6_cavpo
W5QBM9 w5qbm9_sheep
W5NHH5 w5nhh5_lepoc
F1LWV8 f1lwv8_rat
Q9IA06 fzd2_chick
G5CVM7 g5cvm7_diphe
W5P9K8 w5p9k8_sheep
Q9MZP2 q9mzp2_mansp
W8C0E5 w8c0e5_cerca
G1RC63 g1rc63_nomle
Q3V5M1 q3v5m1_chick
D9YL89 d9yl89_phyno
Q2Q8K9 q2q8k9_phytc
C7BBU8 c7bbu8_9neob
H2NEW8 h2new8_ponab
Q645S9 q645s9_macmu
F7AE40 f7ae40_macmu
U3JRF3 u3jrf3_fical
Q9PVP0 q9pvp0_oncma
G3RLF9 g3rlf9_gorgo
J9P1I1 j9p1i1_canfa
F2Y5I1 f2y5i1_souch
G3M6C3 g3m6c3_9euth
Q0VDX1 q0vdx1_mouse
W5PLA4 w5pla4_sheep
Q64056 acm4_mouse
K4HKE5 k4hke5_9saur
G1NYU8 g1nyu8_myolu
W5PKU5 w5pku5_sheep
F1MP17 f1mp17_bovin
F1Q579 f1q579_danre
U5YCM3 u5ycm3_9neob
H2QM02 h2qm02_pantr
F1MCE6 f1mce6_bovin
K7EUH7 k7euh7_ponab
H9EUL1 h9eul1_macmu
A0A059V7D4 a0a059v7d4_9saur
F6QLA1 f6qla1_bovin
G1L238 g1l238_ailme
V9MH38 v9mh38_9tele
M4B135 m4b135_xipma
Q5G6Q8 q5g6q8_tapnu
Q8HXT7 q8hxt7_tamte
G1SHM6 g1shm6_rabit
K4GQV6 k4gqv6_9saur
F7BES5 f7bes5_mondo
A8CU28 a8cu28_bufbu
A0A093J559 a0a093j559_fulga
G3T219 g3t219_loxaf
I3NGW8 i3ngw8_icttr
A3EX06 a3ex06_micsi
F7I0T6 f7i0t6_calja
G3U698 g3u698_loxaf
A3EX31 a3ex31_micra
H0ZRK9 h0zrk9_taegu
I3MTX7 i3mtx7_icttr
Q67ES0 tr140_rat
E5F1H2 e5f1h2_pig
A4L723 a4l723_vulla
G1STM0 g1stm0_rabit
M3WK09 m3wk09_felca
G1PFY9 g1pfy9_myolu
M3WA92 m3wa92_felca
G3VN91 g3vn91_sarha
H0XI31 h0xi31_otoga
A4ZY82 a4zy82_felca
H9GAX7 h9gax7_anoca
I3WAK2 i3wak2_9saur
I3MTN2 i3mtn2_icttr
F6XBA3 f6xba3_mondo
H2TYT2 h2tyt2_takru
G3QSU8 g3qsu8_gorgo
G1N0U8 g1n0u8_melga
H9GKK2 h9gkk2_anoca
Q58TG7 q58tg7_9gobi
A0A0B5A7L9 a0a0b5a7l9_9saur
F1RP27 f1rp27_pig
G3QCT4 g3qct4_gorgo
A0A023WAR7 a0a023war7_9pass
B4Z6L5 b4z6l5_9grui
I0B8P0 i0b8p0_cersi
I1VSA7 i1vsa7_9sylv
F6XK97 f6xk97_ornan
D2DFA9 d2dfa9_mouse
H7BS64 h7bs64_9tele
T1QU96 t1qu96_9tele
M3VZJ7 m3vzj7_felca
H2NDX1 h2ndx1_ponab
Q9BGN6 ccr5_cerso
F6XV94 f6xv94_horse
F6V714 f6v714_horse
Q0W9D5 q0w9d5_atepa
Q9TUQ4 q9tuq4_erypa
A0A0B6VSI9 a0a0b6vsi9_mouse
C0KVD3 c0kvd3_pantr
H7BRV1 h7brv1_danre
P30680 ssr2_rat
H0XYV3 h0xyv3_otoga
Q9MZN7 q9mzn7_macne
Q8HY53 q8hy53_macmu
K7FMA6 k7fma6_pelsi
M3WE43 m3we43_felca
I7CHN7 i7chn7_9cich
K4GQN9 k4gqn9_cylru
E3UMR8 e3umr8_vulla
Q924Y8 gp149_rat
G3SL07 g3sl07_loxaf
Q3U3U0 q3u3u0_mouse
H2PAY4 h2pay4_ponab
G3M6B9 g3m6b9_vomur
H7BS10 h7bs10_9tele
D2EAR1 d2ear1_dicla
Q99NU7 q99nu7_tamst
F2Y4R5 f2y4r5_souch
H6TQC4 h6tqc4_9saur
E5G683 e5g683_9pass
H0UVK9 h0uvk9_cavpo
K7FGL3 k7fgl3_pelsi
B7TVM1 b7tvm1_perpl
A0A0C5Q0R2 a0a0c5q0r2_myomy
I0CJV5 i0cjv5_9tele
M4B0N3 m4b0n3_xipma
Q70VB1 gpc6a_rat
G3RAH5 g3rah5_gorgo
A0A0D9REK3 a0a0d9rek3_chlsb
H3B1A3 h3b1a3_latch
Q66XV8 q66xv8_sceun
S9WXW7 s9wxw7_9ceta
I3XIA1 i3xia1_9tele
M3WD44 m3wd44_felca
I3NBL0 i3nbl0_icttr
K7F1Q7 k7f1q7_pelsi
A2TAI0 a2tai0_9neob
W5MQT6 w5mqt6_lepoc
E0V868 e0v868_micoh
H3AQU1 h3aqu1_latch
V8PCE2 v8pce2_ophha
Q2MV23 q2mv23_danre
K7EXW0 k7exw0_pelsi
A0A023IUI0 a0a023iui0_angan
D3J167 d3j167_numme
F7IFX0 f7ifx0_calja
I3MPU6 i3mpu6_icttr
H9G6P5 h9g6p5_anoca
H2FFC0 h2ffc0_9saur
I0CKD2 i0ckd2_9prim
Q4SAK8 q4sak8_tetng
U6DV80 u6dv80_neovi
A0A0B5A228 a0a0b5a228_9prim
H2NII8 h2nii8_ponab
U3HZQ6 u3hzq6_anapl
W5PXZ6 w5pxz6_sheep
Q91VE4 q91ve4_mouse
D7PQX1 d7pqx1_ichal
E2RIH0 e2rih0_canfa
F7GTE4 f7gte4_macmu
I3M7K6 i3m7k6_icttr
H0W746 h0w746_cavpo
A0A0A7EWT8 a0a0a7ewt8_9cich
G3WZK9 g3wzk9_sarha
H2PWY3 h2pwy3_ponab
B4Z6E0 b4z6e0_9pass
G1KKP0 g1kkp0_anoca
G1SA84 g1sa84_nomle
V8NQI1 v8nqi1_ophha
H0VK77 h0vk77_cavpo
I3MHG6 i3mhg6_icttr
D9U3K3 d9u3k3_9prim
F6QDY8 f6qdy8_mondo
G1U149 g1u149_rabit
T1QU80 t1qu80_caeca
G1T1Q0 g1t1q0_rabit
A0A096NW01 a0a096nw01_papan
D9YL52 d9yl52_9neob
W5LTG2 w5ltg2_astmx
J7LJ95 j7lj95_9saur
H0XWD4 h0xwd4_otoga
A0A059V8X4 a0a059v8x4_bovin
A0A0C5PY20 a0a0c5py20_9chir
F1PJI9 f1pji9_canfa
K0IT51 k0it51_marzi
H0ZDI1 h0zdi1_taegu
Q3U4C5 q3u4c5_mouse
H2RCC1 h2rcc1_pantr
A0A093NPG3 a0a093npg3_pygad
K7F0F5 k7f0f5_pelsi
F6WHR2 f6whr2_macmu
M3Z4W4 m3z4w4_muspf
A2TAH5 a2tah5_9amph
A0A0B6VKP5 a0a0b6vkp5_mouse
D2I5D3 d2i5d3_ailme
K7FZC1 k7fzc1_pelsi
R0KZE6 r0kze6_anapl
H2T761 h2t761_takru
Q9XS35 q9xs35_macne
E2DI32 e2di32_caphi
A0A096NGN9 a0a096ngn9_papan
F7EEC7 f7eec7_xentr
O62796 opsd_trima
U3LUC2 u3luc2_labro
A0A096N1F9 a0a096n1f9_papan
F6T0T1 f6t0t1_xentr
Q9CPV9 p2y12_mouse
K4HGX0 k4hgx0_troha
Q9BFY4 q9bfy4_atefu
I3MSN5 i3msn5_icttr
A4IFB7 a4ifb7_bovin
F6TPP4 f6tpp4_calja
H2LB15 h2lb15_oryla
V8N6C1 v8n6c1_ophha
P11614 5ht1d_canfa
M3YV26 m3yv26_muspf
D8V2C0 d8v2c0_9neob
F7HMF6 f7hmf6_macmu
M3Z2W5 m3z2w5_muspf
F7IH70 f7ih70_calja
Q8SQ92 q8sq92_natst
F6Y1C0 f6y1c0_xentr
A0A8J5 a0a8j5_pig
B1H1G0 b1h1g0_xentr
H9Z869 h9z869_macmu
K4K3M9 k4k3m9_utast
F6S3B9 f6s3b9_ornan
G8HVA1 g8hva1_9neob
E1BMI3 e1bmi3_bovin
K7F2D9 k7f2d9_pelsi
H2RAY2 h2ray2_pantr
J9Q1Y4 j9q1y4_turtr
F7FNR3 f7fnr3_mondo
T1QUZ2 t1quz2_9scom
Q646C3 t2r50_pantr
G9CTS9 g9cts9_tapte
U6CRD5 u6crd5_neovi
M3VZE0 m3vze0_felca
A0A0A7EV77 a0a0a7ev77_9cich
H9NE95 h9ne95_falru
Q2MK76 q2mk76_pig
A0A0B5ADW6 a0a0b5adw6_9neob
H2NGL1 h2ngl1_ponab
P25099 aa1r_rat
P0C0L6 npsr1_rat
F7HAX5 f7hax5_calja
W5QDI4 w5qdi4_sheep
A0A075DCT7 a0a075dct7_colli
G8ENU9 g8enu9_9pass
Q8HZP3 bkrb1_chlpg
F7H1N2 f7h1n2_calja
B3FF91 b3ff91_9carn
Q6W9B4 q6w9b4_zappr
F6XXP0 f6xxp0_mondo
W5P2L8 w5p2l8_sheep
F6PSU6 f6psu6_horse
E1BWY5 e1bwy5_chick
F7HBJ9 f7hbj9_calja
S4UUN1 s4uun1_fulgl
A0A0D9RQV4 a0a0d9rqv4_chlsb
Q61184 mtr1a_mouse
Q9BDS7 gpr15_macfa
G8ENV0 g8env0_9pass
A0A068BIW6 a0a068biw6_calpy
B3FFA1 b3ffa1_musni
M3X9N6 m3x9n6_felca
G1SP78 g1sp78_rabit
A3KF76 a3kf76_macng
G1N7R3 g1n7r3_melga
G3Q430 g3q430_gasac
Q09J30 q09j30_macmu
G3TYL8 g3tyl8_loxaf
M3WEF8 m3wef8_felca
M3X6N9 m3x6n9_felca
H2P9D0 h2p9d0_ponab
F6RQM0 f6rqm0_xentr
I3N2K1 i3n2k1_icttr
T2B123 t2b123_anaru
G1TI96 g1ti96_rabit
U3KIB4 u3kib4_fical
F6TMM6 f6tmm6_horse
A3EX36 a3ex36_micsm
A0A0C5Q9I1 a0a0c5q9i1_9chir
T1QUK1 t1quk1_9tele
G1TJQ6 g1tjq6_rabit
F1PLY1 f1ply1_canfa
F1NSB8 f1nsb8_chick
K4GUX5 k4gux5_exipl
Q673L2 q673l2_bovin
H9G3Q1 h9g3q1_anoca
B8QCP7 b8qcp7_natna
M3Z468 m3z468_muspf
H0XSI0 h0xsi0_otoga
G1LSY8 g1lsy8_ailme
G5CVV0 g5cvv0_delle
G1KSM2 g1ksm2_anoca
M3WF07 m3wf07_felca
D2CP28 d2cp28_chick
C5I7Y6 c5i7y6_kobel
K4HGT9 k4hgt9_tupte
H0XKM9 h0xkm9_otoga
E5G691 e5g691_9pass
Q29ST4 q29st4_danre
V5W6W5 v5w6w5_xipma
I3MSX8 i3msx8_icttr
Q542R4 q542r4_mouse
B4Z6S9 b4z6s9_tytal
V8NZV3 v8nzv3_ophha
R9TIS6 r9tis6_9saur
D7PQW5 d7pqw5_hyahy
H0VPZ8 h0vpz8_cavpo
G3VTI0 g3vti0_sarha
W5U8A7 w5u8a7_ictpu
E5G6A6 e5g6a6_9pass
